,Unnamed: 0,date,type,hnl,month
776,776,2023-01-27,Salas,945160737.36,1
777,777,2023-01-27,Agencias,130893907.76999997,1
778,778,2023-01-28,Salas,995568447.09,1
779,779,2023-01-28,Agencias,125095184.84000003,1
780,780,2023-01-29,Salas,1012139656.27,1
781,781,2023-01-29,Agencias,120817677.3,1
782,782,2023-01-30,Salas,1015753676.5999998,1
783,783,2023-01-30,Agencias,119725578.1,1
784,784,2023-01-31,Salas,858020786.7199999,1
785,785,2023-01-31,Agencias,140474947.71999997,1
814,814,2023-01-01,ATM,71575800.0,1
815,815,2023-01-02,ATM,69930800.0,1
816,816,2023-01-03,ATM,80520100.0,1
817,817,2023-01-04,ATM,82704000.0,1
818,818,2023-01-05,ATM,81072100.0,1
819,819,2023-01-06,ATM,71524000.0,1
820,820,2023-01-07,ATM,64502800.0,1
821,821,2023-01-08,ATM,66986500.0,1
822,822,2023-01-09,ATM,64178100.0,1
823,823,2023-01-10,ATM,64915800.0,1
824,824,2023-01-11,ATM,61027400.0,1
825,825,2023-01-12,ATM,58439800.0,1
826,826,2023-01-13,ATM,55414500.0,1
827,827,2023-01-14,ATM,53087500.0,1
828,828,2023-01-15,ATM,50050600.0,1
829,829,2023-01-16,ATM,47517800.0,1
830,830,2023-01-17,ATM,43674100.0,1
831,831,2023-01-18,ATM,44284200.0,1
832,832,2023-01-19,ATM,42476900.0,1
833,833,2023-01-20,ATM,37155000.0,1
834,834,2023-01-21,ATM,35086800.0,1
835,835,2023-01-22,ATM,35657500.0,1
836,836,2023-01-23,ATM,32790100.0,1
837,837,2023-01-24,ATM,30114800.0,1
838,838,2023-01-25,ATM,24764300.0,1
839,839,2023-01-26,ATM,21141800.0,1
840,840,2023-01-27,ATM,14570500.0,1
841,841,2023-01-28,ATM,12650800.0,1
842,842,2023-01-29,ATM,7711200.0,1
843,843,2023-01-30,ATM,4095100.0,1
844,844,2023-01-31,ATM,1451300.0,1
851,851,2023-01-01,Transporte,1312000.0,1
852,852,2023-01-02,Transporte,12133900.0,1
853,853,2023-01-03,Transporte,7641000.0,1
854,854,2023-01-04,Transporte,5992600.0,1
855,855,2023-01-05,Transporte,12406500.0,1
856,856,2023-01-06,Transporte,9357300.0,1
857,857,2023-01-07,Transporte,9661800.0,1
858,858,2023-01-08,Transporte,1987900.0,1
859,859,2023-01-09,Transporte,9131500.0,1
860,860,2023-01-10,Transporte,5502500.0,1
861,861,2023-01-11,Transporte,4598800.0,1
862,862,2023-01-12,Transporte,10102200.0,1
863,863,2023-01-13,Transporte,10627500.0,1
864,864,2023-01-14,Transporte,9526900.0,1
865,865,2023-01-15,Transporte,2907100.0,1
866,866,2023-01-16,Transporte,6212800.0,1
867,867,2023-01-17,Transporte,4962600.0,1
